#M_disk/M_SMBH,rho/g.cm^-3,N_disk,mean_N,delta_N,mean_hardness,delta_hardness
0.0001,3.0,1000.0,14.05,4.63114456695,1.3394647163,0.769671402972
0.000158489319246,3.0,1000.0,14.15,4.25764019147,1.16461597647,0.376958769026
0.000251188643151,3.0,1000.0,15.75,3.67253318569,1.31907163173,0.531082307004
0.000398107170553,3.0,1000.0,16.8,4.58911756223,1.32324883133,0.628743954526
0.00063095734448,3.0,1000.0,14.35,3.8376425055,1.59722647215,0.631470373464
0.001,3.0,1000.0,13.7894736842,3.48800874227,1.23149603624,0.320083173932
0.00158489319246,3.0,1000.0,13.3684210526,3.82802032547,1.39662633596,0.554177214349
0.00251188643151,3.0,1000.0,12.85,3.56756219287,1.1705195638,0.244109970755
0.00398107170553,3.0,1000.0,12.4,3.33766385366,1.20880431903,0.539815017098
0.0063095734448,3.0,1000.0,10.95,3.39816126751,1.06328094526,0.318291559575
0.01,3.0,1000.0,9.4,3.63868107973,1.10016923129,0.265078912432
